Town,TownFIPS2020,TownFIPS2022,PlanningRegionFIPS,PlanningRegionName,CountyFIPS,CountyName
Andover,0901301080,0911001080,09110,Capitol Planning Region,09013,Tolland
Ansonia,0900901220,0914001220,09140,Naugatuck Valley Planning Region,09009,New Haven
Ashford,0901501430,0915001430,09150,Northeastern Connecticut Planning Region,09015,Windham
Avon,0900302060,0911002060,09110,Capitol Planning Region,09003,Hartford
Barkhamsted,0900502760,0916002760,09160,Northwest Hills Planning Region,09005,Litchfield
Beacon Falls,0900903250,0914003250,09140,Naugatuck Valley Planning Region,09009,New Haven
Berlin,0900304300,0911004300,09110,Capitol Planning Region,09003,Hartford
Bethany,0900904580,0917004580,09170,South Central Connecticut Planning Region,09009,New Haven
Bethel,0900104720,0919004720,09190,Western Connecticut Planning Region,09001,Fairfield
Bethlehem,0900504930,0914004930,09140,Naugatuck Valley Planning Region,09005,Litchfield
Bloomfield,0900305910,0911005910,09110,Capitol Planning Region,09003,Hartford
Bolton,0901306260,0911006260,09110,Capitol Planning Region,09013,Tolland
Bozrah,0901106820,0918006820,09180,Southeastern Connecticut Planning Region,09011,New London
Branford,0900907310,0917007310,09170,South Central Connecticut Planning Region,09009,New Haven
Bridgeport,0900108070,0912008070,09120,Greater Bridgeport Planning Region,09001,Fairfield
Bridgewater,0900508210,0919008210,09190,Western Connecticut Planning Region,09005,Litchfield
Bristol,0900308490,0914008490,09140,Naugatuck Valley Planning Region,09003,Hartford
Brookfield,0900108980,0919008980,09190,Western Connecticut Planning Region,09001,Fairfield
Brooklyn,0901509190,0915009190,09150,Northeastern Connecticut Planning Region,09015,Windham
Burlington,0900310100,0916010100,09160,Northwest Hills Planning Region,09003,Hartford
Canaan,0900510940,0916010940,09160,Northwest Hills Planning Region,09005,Litchfield
Canterbury,0901512130,0915012130,09150,Northeastern Connecticut Planning Region,09015,Windham
Canton,0900312270,0911012270,09110,Capitol Planning Region,09003,Hartford
Chaplin,0901513810,0915013810,09150,Northeastern Connecticut Planning Region,09015,Windham
Cheshire,0900914160,0914014160,09140,Naugatuck Valley Planning Region,09009,New Haven
Chester,0900714300,0913014300,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
Clinton,0900715350,0913015350,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
Colchester,0901115910,0918015910,09180,Southeastern Connecticut Planning Region,09011,New London
Colebrook,0900516050,0916016050,09160,Northwest Hills Planning Region,09005,Litchfield
Columbia,0901316400,0911016400,09110,Capitol Planning Region,09013,Tolland
Cornwall,0900517240,0916017240,09160,Northwest Hills Planning Region,09005,Litchfield
Coventry,0901317800,0911017800,09110,Capitol Planning Region,09013,Tolland
Cromwell,0900718080,0913018080,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
Danbury,0900118500,0919018500,09190,Western Connecticut Planning Region,09001,Fairfield
Darien,0900118850,0919018850,09190,Western Connecticut Planning Region,09001,Fairfield
Deep River,0900719130,0913019130,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
Derby,0900919550,0914019550,09140,Naugatuck Valley Planning Region,09009,New Haven
Durham,0900720810,0913020810,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
East Granby,0900322070,0911022070,09110,Capitol Planning Region,09003,Hartford
East Haddam,0900722280,0913022280,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
East Hampton,0900722490,0913022490,09130,Lower Connecticut River Valley Planning Region,09007,Middlesex
East Hartford,0900322630,0911022630,09110,Capitol Planning Region,09003,Hartford
East Haven,0900922910,0917022910,09170,South Central Connecticut Planning Region,09009,New Haven
East Lyme,0901123400,0918023400,09180,Southeastern Connecticut Planning Region,09011,New London
East Windsor,0900324800,0911024800,09110,Capitol Planning Region,09003,Hartford
Eastford,0901521860,0915021860,09150,Northeastern Connecticut Planning Region,09015,Windham
