ZIP Code, City, Classification, County FIPS, County Name, Region FIPS, Region Name
06001,Avon,,09003,Hartford,09110,Capitol
06002,Bloomfield,,09003,Hartford,09110,Capitol
06006,Windsor,U,09003,Hartford,09110,Capitol
06010,Bristol,,09003,Hartford,09140,Naugatuck Vly
06011,Bristol,P,09003,Hartford,09140,Naugatuck Vly
06013,Burlington,,09003,Hartford,09110,Capitol
06016,Broad Brook,,09003,Hartford,09110,Capitol
06018,Canaan,,09005,Litchfield,09160,Nw Hills
06019,Canton,,09003,Hartford,09110,Capitol
06020,Canton Center,P,09003,Hartford,09110,Capitol
06021,Colebrook,,09005,Litchfield,09160,Nw Hills
06022,Collinsville,P,09003,Hartford,09110,Capitol
06023,East Berlin,,09003,Hartford,09110,Capitol
06024,East Canaan,,09005,Litchfield,09160,Nw Hills
06025,East Glastonbury,P,09003,Hartford,09110,Capitol
06026,East Granby,,09003,Hartford,09110,Capitol
06027,East Hartland,,09003,Hartford,09160,Nw Hills
06028,East Windsor Hill,P,09003,Hartford,09110,Capitol
06029,Ellington,,09013,Tolland,09110,Capitol
06030,Farmington,U,09003,Hartford,09110,Capitol
06031,Falls Village,,09005,Litchfield,09160,Nw Hills
06032,Farmington,,09003,Hartford,09110,Capitol
06033,Glastonbury,,09003,Hartford,09110,Capitol
06034,Farmington,P,09003,Hartford,09110,Capitol
06035,Granby,,09003,Hartford,09110,Capitol
06037,Berlin,,09003,Hartford,09110,Capitol
06039,Lakeville,,09005,Litchfield,09160,Nw Hills
06040,Manchester,,09003,Hartford,09110,Capitol
06041,Manchester,U,09003,Hartford,09110,Capitol
06042,Manchester,,09003,Hartford,09110,Capitol
06043,Bolton,,09013,Tolland,09110,Capitol
06045,Manchester,P,09003,Hartford,09110,Capitol
06050,New Britain,P,09003,Hartford,09110,Capitol
06051,New Britain,,09003,Hartford,09110,Capitol
06052,New Britain,,09003,Hartford,09110,Capitol
06053,New Britain,,09003,Hartford,09110,Capitol
06057,New Hartford,,09005,Litchfield,09160,Nw Hills
06058,Norfolk,,09005,Litchfield,09160,Nw Hills
06059,North Canton,P,09005,Litchfield,09160,Nw Hills
06060,North Granby,,09003,Hartford,09110,Capitol
06061,Pine Meadow,P,09005,Litchfield,09160,Nw Hills
06062,Plainville,,09003,Hartford,09110,Capitol
06063,Barkhamsted,,09005,Litchfield,09160,Nw Hills
06064,Poquonock,P,09003,Hartford,09110,Capitol
06065,Riverton,,09003,Hartford,09160,Nw Hills
06066,Vernon Rockville,,09013,Tolland,09110,Capitol
06067,Rocky Hill,,09003,Hartford,09110,Capitol
06068,Salisbury,,09005,Litchfield,09160,Nw Hills
06069,Sharon,,09005,Litchfield,09160,Nw Hills
06070,Simsbury,,09003,Hartford,09110,Capitol
06071,Somers,,09013,Tolland,09110,Capitol
06072,Somersville,P,09013,Tolland,09110,Capitol
06073,South Glastonbury,,09003,Hartford,09110,Capitol
06074,South Windsor,,09003,Hartford,09110,Capitol
06075,Stafford,P,09013,Tolland,09110,Capitol
06076,Stafford Springs,,09013,Tolland,09110,Capitol
06077,Staffordville,P,09013,Tolland,09110,Capitol
06078,Suffield,,09003,Hartford,09110,Capitol
06079,Taconic,P,09005,Litchfield,09160,Nw Hills
06080,Suffield,U,09003,Hartford,09110,Capitol
06081,Tariffville,,09003,Hartford,09110,Capitol
06082,Enfield,,09003,Hartford,09110,Capitol
06083,Enfield,P,09003,Hartford,09110,Capitol
06084,Tolland,,09013,Tolland,09110,Capitol
06085,Unionville,,09003,Hartford,09110,Capitol
06088,East Windsor,,09003,Hartford,09110,Capitol
